"threat","sentiment_score"
"The student sent several messages through the app, including one regarding a gun and that the student would bring it to school and kill everyone,",-0.65
"The student told Wall-Howard (assistant principal) that (a student) was talking about if he were to come to shoot up the school, (that student) would know where to access the school and could have the entire downstairs before the upstairs even knew what was going on. The student also informed Wall-Howard that (the other student) mentioned needing to sell his current firearms to upgrade to an AK-47.",-0.7
"There will be a school shooting in the commons area on ovtober 21st 2019",-0.6
"Threat from male Im going to eliminate Everyone that I hate, if youve done nothing wrong theres nothing to worry about. But im warning you, If youre so confident and think you can stop me, i will have no choice but to eliminate you as well. Dont let that person be you.",-1.9
"threat said that a shooting would occur monday",-1.35
"threat specifically mentioned ""fourth hour""",-0.75
"threatened other students on social media that they ""wanted to get out of class""",-0.5
"threatened to shoot and bomb the school,",-1.75
"Threats of shooting up the school cafeteria and Instagram threats referencing Columbine",-1.35
"To commit a school shooting",-0.85
"To shoot 20 students and four administrators at OGHS around 10:30 a.m. Friday.",-0.5
"wanted the school ""stot up"", ""I was to murder every [person]... inside this school""",-0.75
"Warned not to come to school Monday",-0.5
"Wednesday 9/4/19: ""time to shoot up the school Friday 9/6/19: ""and this time Im not joking. Its for real.""",0.35
"were going to shoot a number of students and staff",-0.5
"Witnesses stated he said he was going to shoot up the school and that nobody will make it out alive,"" also held up his hand in a gun motion and said ""don't come to school tomorrow,"" also said ""shoot up the school and shoot a teacher first""",-0.25
"Wrote about the fireworks the day prior, was a test to see how long it took the police to arrive.""",-0.25
